name,winner,primarytitle
Sally Field,True,Places in the Heart
Jessica Lange,False,Country
Vanessa Redgrave,False,The Bostonians
Sissy Spacek,False,The River
Harrison Ford,False,Witness
James Garner,False,Murphy's Romance
William Hurt,True,Kiss of the Spider Woman
Jack Nicholson,False,Prizzi's Honor
Jon Voight,False,Runaway Train
Anne Bancroft,False,Agnes of God
Whoopi Goldberg,False,The Color Purple
Jessica Lange,False,Sweet Dreams
Geraldine Page,True,The Trip to Bountiful
Meryl Streep,False,Out of Africa
Dexter Gordon,False,'Round Midnight
Bob Hoskins,False,Mona Lisa
William Hurt,False,Children of a Lesser God
Paul Newman,True,The Color of Money
James Woods,False,Salvador
Jane Fonda,False,The Morning After
Marlee Matlin,True,Children of a Lesser God
Sissy Spacek,False,Crimes of the Heart
Kathleen Turner,False,Peggy Sue Got Married
Sigourney Weaver,False,Aliens
Michael Douglas,True,Wall Street
William Hurt,False,Broadcast News
Marcello Mastroianni,False,Dark Eyes
Jack Nicholson,False,Ironweed
Robin Williams,False,"Good Morning, Vietnam"
Cher,True,Moonstruck
Glenn Close,False,Fatal Attraction
Holly Hunter,False,Broadcast News
Sally Kirkland,False,Anna
Meryl Streep,False,Ironweed
Gene Hackman,False,Mississippi Burning
Tom Hanks,False,Big
Dustin Hoffman,True,Rain Man
Edward James Olmos,False,Stand and Deliver
Max von Sydow,False,Pelle the Conqueror
Glenn Close,False,Dangerous Liaisons
Jodie Foster,True,The Accused
Melanie Griffith,False,Working Girl
Meryl Streep,False,A Cry in the Dark
Sigourney Weaver,False,Gorillas in the Mist
Kenneth Branagh,False,Henry V
Tom Cruise,False,Born on the Fourth of July
Daniel Day Lewis,True,My Left Foot
Morgan Freeman,False,Driving Miss Daisy
Robin Williams,False,Dead Poets Society
Isabelle Adjani,False,Camille Claudel
Pauline Collins,False,Shirley Valentine
Jessica Lange,False,Music Box
Michelle Pfeiffer,False,The Fabulous Baker Boys
Jessica Tandy,True,Driving Miss Daisy
Kevin Costner,False,Dances With Wolves
Robert De Niro,False,Awakenings
Gerard Depardieu,False,Cyrano de Bergerac
Richard Harris,False,The Field
Jeremy Irons,True,Reversal of Fortune
Kathy Bates,True,Misery
Anjelica Huston,False,The Grifters
Julia Roberts,False,Pretty Woman
Meryl Streep,False,Postcards from the Edge
Joanne Woodward,False,Mr. & Mrs. Bridge
Warren Beatty,False,Bugsy
Robert De Niro,False,Cape Fear
Anthony Hopkins,True,The Silence of the Lambs
Nick Nolte,False,The Prince of Tides
Robin Williams,False,The Fisher King
Geena Davis,False,Thelma & Louise
Laura Dern,False,Rambling Rose
Jodie Foster,True,The Silence of the Lambs
Bette Midler,False,For the Boys
Susan Sarandon,False,Thelma & Louise
Robert Downey Jr.,False,Chaplin
Clint Eastwood,False,Unforgiven
Al Pacino,True,Scent of a Woman
Stephen Rea,False,The Crying Game
Denzel Washington,False,Malcolm X
Catherine Deneuve,False,Indochine
Mary McDonnell,False,Passion Fish
Michelle Pfeiffer,False,Love Field
Susan Sarandon,False,Lorenzo's Oil
Emma Thompson,True,Howards End
Daniel Day-Lewis,False,In the Name of the Father
Laurence Fishburne,False,What's Love Got to Do with It
Tom Hanks,True,Philadelphia
Anthony Hopkins,False,The Remains of the Day
Liam Neeson,False,Schindler's List
Angela Bassett,False,What's Love Got to Do with It
Stockard Channing,False,Six Degrees of Separation
Holly Hunter,True,The Piano
Emma Thompson,False,The Remains of the Day
Debra Winger,False,Shadowlands
Morgan Freeman,False,The Shawshank Redemption
Tom Hanks,True,Forrest Gump
Nigel Hawthorne,False,The Madness of King George
Paul Newman,False,Nobody's Fool
John Travolta,False,Pulp Fiction
Jodie Foster,False,Nell
Jessica Lange,True,Blue Sky
Miranda Richardson,False,Tom & Viv
Winona Ryder,False,Little Women
Susan Sarandon,False,The Client
Nicolas Cage,True,Leaving Las Vegas
Richard Dreyfuss,False,Mr. Holland's Opus
Anthony Hopkins,False,Nixon
Sean Penn,False,Dead Man Walking
Massimo Troisi,False,The Postman (Il Postino)
Susan Sarandon,True,Dead Man Walking
Elisabeth Shue,False,Leaving Las Vegas
Sharon Stone,False,Casino
Meryl Streep,False,The Bridges of Madison County
Emma Thompson,False,Sense and Sensibility
Tom Cruise,False,Jerry Maguire
Ralph Fiennes,False,The English Patient
Woody Harrelson,False,The People vs. Larry Flynt
Geoffrey Rush,True,Shine
Billy Bob Thornton,False,Sling Blade
Brenda Blethyn,False,Secrets & Lies
Diane Keaton,False,Marvin's Room
Frances McDormand,True,Fargo
Kristin Scott Thomas,False,The English Patient
Emily Watson,False,Breaking the Waves
Matt Damon,False,Good Will Hunting
Robert Duvall,False,The Apostle
Peter Fonda,False,Ulee's Gold
Dustin Hoffman,False,Wag the Dog
Jack Nicholson,True,As Good as It Gets
Helena Bonham Carter,False,The Wings of the Dove
Julie Christie,False,Afterglow
Judi Dench,False,Mrs. Brown
Helen Hunt,True,As Good as It Gets
Kate Winslet,False,Titanic
Roberto Benigni,True,Life Is Beautiful
Tom Hanks,False,Saving Private Ryan
Ian McKellen,False,Gods and Monsters
Nick Nolte,False,Affliction
Edward Norton,False,American History X
Cate Blanchett,False,Elizabeth
Fernanda Montenegro,False,Central Station
Gwyneth Paltrow,True,Shakespeare in Love
Meryl Streep,False,One True Thing
Emily Watson,False,Hilary and Jackie
Russell Crowe,False,The Insider
Richard Farnsworth,False,The Straight Story
Sean Penn,False,Sweet and Lowdown
Kevin Spacey,True,American Beauty
Denzel Washington,False,The Hurricane
Annette Bening,False,American Beauty
Janet McTeer,False,Tumbleweeds
Julianne Moore,False,The End of the Affair
Meryl Streep,False,Music of the Heart
Hilary Swank,True,Boys Don't Cry
Javier Bardem,False,Before Night Falls
Russell Crowe,True,Gladiator
Tom Hanks,False,Cast Away
Ed Harris,False,Pollock
Geoffrey Rush,False,Quills
Joan Allen,False,The Contender
Juliette Binoche,False,Chocolat
Ellen Burstyn,False,Requiem for a Dream
Laura Linney,False,You Can Count on Me
Julia Roberts,True,Erin Brockovich
Russell Crowe,False,A Beautiful Mind
Sean Penn,False,I Am Sam
Will Smith,False,Ali
Denzel Washington,True,Training Day
Tom Wilkinson,False,In the Bedroom
Halle Berry,True,Monster's Ball
Judi Dench,False,Iris
Nicole Kidman,False,Moulin Rouge
Sissy Spacek,False,In the Bedroom
Ren̩e Zellweger,False,Bridget Jones's Diary
Adrien Brody,True,The Pianist
Nicolas Cage,False,Adaptation
Michael Caine,False,The Quiet American
Daniel Day-Lewis,False,Gangs of New York
Jack Nicholson,False,About Schmidt
Salma Hayek,False,Frida
Nicole Kidman,True,The Hours
Diane Lane,False,Unfaithful
Julianne Moore,False,Far from Heaven
Ren̩e Zellweger,False,Chicago
Johnny Depp,False,Pirates of the Caribbean: The Curse of the Black Pearl
Ben Kingsley,False,House of Sand and Fog
Jude Law,False,Cold Mountain
Bill Murray,False,Lost in Translation
