nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
913933,503000,25000,528000,4000,24000,14800,38800,5,1,1.1388469,37091.633,8,3,16.333334,3,0,,1,1,52,45,nord,0,0,0,1,1,0
913934,605000,18000,623000,6000,36000,0,36000,5,1,1.3446062,46065.977,9,3,15.333333,3,0,,1,1,54,47,nord,0,0,0,1,1,0
913939,403000,6500,409500,,26100,0,26100,1,1,.8375811,23623.824,5,0,,0,1,1,1,,,51,nord,0,,,,1,0
913946,351000,13000,364000,,35500,0,35500,1,1,1.4514922,30647.648,7,0,,0,1,0,,1,49,,nord,,0,1,0,,
913950,1000,4500,5500,4000,25200,0,25200,4,1,2.1616368,24616.494,5,2,2,1,0,,0,1,26,25,nord,0,0,0,1,,
913951,0,5000,5000,,26800,0,26800,1,1,1.4514922,15518.326,3,0,,0,1,0,,1,47,,nord,,0,1,0,,
913953,4000,5000,9000,,39200,0,39200,4,1,2.3977358,28418.326,6,2,2.5,0,0,,0,1,31,37,nord,1,0,1,0,,
913954,200000,3000,203000,3000,28400,600,29000,1,1,1.4514922,25010.996,6,0,,0,1,0,,1,44,,nord,,0,0,1,,
913959,202000,33000,235000,3000,18000,0,18000,1,1,1.1578326,20920.955,4,0,,0,1,1,1,,,58,nord,0,,,,1,0
914010,160500,15000,175500,1300,20400,0,20400,1,2,1.9491467,24554.979,5,0,,0,1,0,,1,48,,nord,,0,0,1,,
914023,200000,1000,201000,,17200,0,17200,3,2,3.0973561,14003.665,2,2,2.5,1,1,1,1,,,25,nord,0,,,,1,0
914047,355000,25000,380000,3000,32750,0,32750,2,2,.97286224,38041.633,8,0,,0,0,,0,1,65,64,nord,0,0,1,0,,
914055,505000,10000,515000,,45400,6000,51400,2,2,1.0169538,34167.652,7,0,,0,0,,1,0,72,63,nord,0,0,,,1,0
914073,0,300,300,,12600,0,12600,1,2,1.0093926,6001.0996,1,0,,0,1,1,1,,,55,nord,0,,,,1,0
914102,0,1358.0247,1358.0247,3000,23400,0,23400,3,3,.27504385,36674.977,8,1,41,1,0,,1,0,66,60,nord,0,0,,,1,0
914148,305000,27139.949,332139.94,,27800,0,27800,1,4,.47461346,76099.477,10,0,,0,1,1,1,,,61,nord,1,,,,1,0
914149,22000,24519.035,46519.035,,36000,0,36000,3,4,.51817673,38089.871,8,1,18,1,0,,1,1,55,57,nord,1,0,1,0,1,0
914150,0,3716.9219,3716.9219,3200,15168,0,15168,6,4,.81696516,14013.624,2,4,16.5,2,0,,0,1,54,46,nord,0,0,1,0,,
914169,0,15000,13500,,13220,0,13220,1,4,1.2054286,15054.979,3,0,,0,1,0,,1,31,,nord,,1,1,0,,
914186,345000,13016.449,354016.44,,66800,23000,89800,5,1,1.3357435,122109.37,10,3,27.333334,1,0,,1,1,61,60,nord,0,1,1,0,1,0
914187,260000,5000,265000,3500,30000,18000,48000,3,1,1.1009371,78318.328,10,1,31,1,0,,0,0,64,65,nord,0,0,,,,
914231,152000,3800,155800,1600,21000,0,21000,3,2,1.3435524,36353.93,8,1,31,0,0,,0,1,56,56,nord,0,0,0,1,,
914248,91000,2100,93100,1100,15000,0,15000,3,2,1.0488316,22407.697,5,1,15,0,0,,0,1,54,53,nord,0,0,1,0,,
914257,140500,6600,87100,1200,15600,0,15600,5,2,2.2915123,17549.084,3,3,7.6666665,2,0,,0,1,46,43,nord,0,0,0,1,,
914258,10500,2700,13200,1700,13200,0,13200,1,2,1.7491696,16709.896,3,0,,0,1,1,1,,,42,nord,0,,,,0,1
914260,191500,52000,243500,1800,25200,0,25200,3,2,2.6107008,36840.594,8,1,11,0,0,,1,1,39,38,nord,0,0,0,1,1,0
914263,255000,104000,359000,,35700,2000,37700,4,2,2.6337638,57925.156,10,2,8,1,0,,1,1,39,39,nord,0,0,0,1,1,0
914324,141500,74500,216000,2600,28200,0,28200,2,3,.29260379,44913.582,9,0,,0,0,,0,1,64,64,nord,0,0,1,0,,
914333,163000,27600,183570,,45400,15000,60400,3,3,.84561056,41194.879,8,1,7,0,0,,1,1,38,37,nord,0,0,0,1,1,0
914335,205000,48000,253000,2600,39600,0,39600,2,3,.29260379,57357.309,10,0,,0,0,,1,1,58,56,nord,0,1,0,1,1,0
914383,102000,10800,112800,,39700,0,39700,3,5,1.6267557,43599.586,8,1,17,0,0,,1,1,47,47,nord,0,0,1,0,1,0
914410,121000,15000,133624,,22000,0,22000,1,3,.28841132,21104.979,4,0,,0,1,1,1,,,51,nord,0,,,,0,1
914414,201500,35000,236500,,30600,600,31200,4,3,.4239819,38940.266,8,2,26.5,1,0,,0,0,61,55,nord,0,0,,,,
914421,235000,4500,239500,,36200,0,36200,4,3,.38745335,34916.492,7,2,21,0,0,,0,1,56,57,nord,0,0,1,0,,
914461,187500,12000,199500,600,20200,0,20200,3,1,1.0439973,32863.984,7,1,23,0,0,,1,1,64,54,nord,0,0,0,1,0,0
914500,150000,20102.789,170102.78,2200,19200,0,19200,1,3,.14303541,21273.682,4,0,,0,1,1,1,,,60,nord,1,,,,1,0
914508,150500,21500,164800,,20440,12600,33040,4,3,.19192427,46874.09,9,2,27.5,0,0,,1,1,63,56,nord,0,0,0,1,1,0
914518,301000,2000,303000,2500,28500,2000,30500,5,3,.25665894,38107.332,8,3,13.333333,1,0,,1,1,48,46,nord,1,0,0,1,1,0
914520,150500,2693.3569,128193.36,1200,18000,70,18070,5,3,.19445722,10545.244,1,2,18,1,0,,1,0,54,48,nord,0,0,,,1,0
914525,500100,10393.535,510493.53,3850,24000,0,24000,2,3,.14303541,26628.096,6,0,,0,0,,0,1,56,55,nord,0,0,0,1,,
914528,41000,61000,102000,4000,24200,26000,50200,2,3,.21467157,58212.27,10,0,,0,0,,1,1,48,46,nord,1,1,0,1,0,1
914529,0,1300,1300,1000,25200,0,25200,5,3,.23570439,19004.766,4,3,10.666667,2,0,,0,1,40,44,nord,0,0,0,1,,
914551,113000,32565.539,136065.53,,33100,11500,44600,7,2,2.1169956,68721.094,10,3,24.333334,1,0,,0,1,51,47,nord,0,0,0,1,,
914607,175000,29000,202642.31,,37600,800,38400,2,3,.67009795,29754.281,7,1,22,1,1,1,1,,,45,nord,0,,,,1,0
914612,0,23000,23000,,24100,0,24100,2,3,.45666325,21284.301,4,0,,0,0,,0,1,53,49,nord,0,0,0,1,,
914620,302800,69499.359,372299.38,,54800,0,54800,3,3,.42969215,55385.406,9,1,27,1,0,,1,1,60,59,nord,1,0,1,0,1,0
914621,2000,2000,4000,1500,16200,0,16200,2,3,.89444721,23387.33,5,0,,0,0,,1,1,36,33,nord,0,0,1,0,1,0
914629,0,5000,5000,500,10800,200,11000,1,3,.70667046,14018.326,2,0,,0,1,0,,1,22,,nord,,0,1,0,,
914630,0,500,500,,5600,0,5600,1,3,.86177683,801.83264,1,0,,0,1,0,,1,39,,nord,,0,0,1,,
914631,925000,186962.47,1111962.5,,43600,0,43600,3,3,.44092441,102200.92,10,1,29,0,0,,1,1,60,59,nord,0,1,1,0,1,0
914633,2070000,11913.739,2081913.8,5000,72000,300,72300,3,3,.56166631,28643.668,6,2,23.5,2,1,1,1,,,58,nord,1,,,,1,0
914646,113000,16088.936,29088.936,,20000,400,20400,1,3,.33930746,22000.457,5,0,,0,1,1,1,,,51,nord,0,,,,1,0
914654,5000,2107263.3,2112263.3,,54000,3000,57000,5,3,.71877307,541879.19,10,3,11.666667,2,0,,0,1,49,44,nord,0,1,1,0,,
914657,150000,0,49938.422,,28996,0,28996,5,3,.82025188,39233.191,8,1,3,1,0,,1,1,49,49,nord,0,0,0,1,1,0
914667,0,679.12238,-15320.878,3000,27000,1000,28000,3,3,.37045142,45002.488,9,1,18,1,0,,1,1,52,52,nord,0,0,0,1,0,1
914687,100500,11100,111600,,17200,0,17200,1,4,.3540535,24962.48,6,0,,0,1,0,,1,51,,nord,,1,1,0,,
914699,151000,918.81329,81918.813,4000,14400,0,14400,3,4,.75383413,20782.408,4,2,16.5,2,1,1,1,,,50,nord,0,,,,1,0
914704,1000,1000,2000,,5900,600,6500,1,4,.71153128,5203.665,1,0,,0,1,1,1,,,47,nord,0,,,,1,0
914706,0,917.00366,-12082.996,2000,20400,650,21050,4,4,.64836621,27503.361,6,2,13.5,1,0,,0,1,52,46,nord,1,0,0,1,,
914710,118600,3800,122400,,16900,1000,17900,6,4,.87361062,23013.928,5,4,9.25,1,0,,0,1,44,41,nord,0,0,0,1,,
914712,0,0,0,,10300,0,10300,1,4,.38127428,22200,5,0,,0,1,1,1,,,57,nord,0,,,,1,0
914715,0,0,-3600,,10200,0,10200,2,4,.61140406,13500,2,1,15,1,1,1,1,,,47,nord,0,,,,1,0
914716,102000,4500,106500,1100,19200,600,19800,2,4,.89252532,22916.494,5,1,9,1,1,1,1,,,44,nord,0,,,,1,0
914717,0,3713.4993,-2286.5007,2000,10320,0,10320,1,4,.96836472,16413.611,3,0,,0,1,0,,1,38,,nord,,0,0,1,,
914718,438000,10000,448000,,30100,3000,33100,2,4,.36747581,20835.082,4,0,,0,0,,1,1,53,59,nord,0,0,1,0,1,0
914721,500,3000,3500,,13800,0,13800,1,4,.38127428,16010.996,3,0,,0,1,1,1,,,55,nord,0,,,,1,0
914763,500,1500,2000,,3960,0,3960,1,3,.51260108,5605.498,1,0,,0,1,1,1,,,43,nord,0,,,,1,0
914774,0,5500,5000,,16360,1500,17860,1,3,.57206655,18220.158,4,0,,0,1,0,,1,25,,nord,,0,1,0,,
914776,7000,8000,15000,,24600,2300,26900,1,3,.45333576,16429.322,3,0,,0,1,0,,1,27,,nord,,1,1,0,,
